,CODDEPTO,AÑO,Hectáreas cultivadas,DEPARTAMENTO,POBLACIÓN,TASA_MATRICULACIÓN,COBERTURA_NETA,COBERTURA_BRUTA,DESERCIÓN,APROBACIÓN,REPROBACIÓN,REPITENCIA
262,95,2021,4435.219999999999,GUAVIARE,21658,84.91,84.79,100.64,7.29,82.84,9.88,7.8
263,95,2022,4934.71,GUAVIARE,22538,80.14,80.13,95.71,3.67,87.41,8.92,8.39
264,97,2011,277.0,VAUPÉS,12690,62.18,62.18,72.29,9.94,81.16,8.89,6.15
265,97,2012,254.0,VAUPÉS,12681,62.32,62.32,73.18,7.62,79.86,12.52,5.11
266,97,2013,184.0,VAUPÉS,12659,62.25,62.25,74.45,8.53,81.3,10.17,2.85
267,97,2014,109.0,VAUPÉS,12699,62.82,62.82,74.25,7.86,90.0,2.14,3.2
268,97,2015,32.64,VAUPÉS,12684,64.08,64.08,76.58,8.08,78.38,13.54,3.49
269,97,2016,96.66,VAUPÉS,12654,64.2,64.17,76.78,6.6,83.11,10.29,3.02
270,97,2017,105.46,VAUPÉS,12668,66.5,65.38,78.29,8.0,80.89,11.12,3.16
271,97,2018,64.74,VAUPÉS,15363,61.64,50.79,59.79,3.88,85.38,10.74,2.26
272,97,2019,25.95,VAUPÉS,15675,52.33,52.33,61.04,3.04,90.08,6.88,3.71
273,97,2020,39.33,VAUPÉS,15910,53.47,53.47,62.8,2.54,81.18,16.28,7.15
274,97,2021,28.81,VAUPÉS,16081,54.73,54.72,66.82,4.18,90.14,5.67,3.6
275,97,2022,17.05,VAUPÉS,15585,55.51,55.51,66.01,4.72,92.54,2.74,9.26
276,99,2011,2264.0,VICHADA,20360,73.07,72.98,82.08,7.33,91.77,0.9,3.54
277,99,2012,1242.0,VICHADA,20686,66.75,66.75,75.11,5.07,88.24,6.69,1.31
278,99,2013,713.0,VICHADA,20977,74.61,74.6,84.57,9.17,87.84,2.99,1.25
279,99,2014,511.0,VICHADA,21331,74.52,74.51,84.1,5.09,88.75,6.16,1.1
280,99,2015,683.14,VICHADA,21644,76.82,76.81,87.09,9.23,76.94,13.82,0.88
281,99,2016,699.19,VICHADA,21951,77.8,77.78,87.9,8.16,78.03,13.81,3.26
282,99,2017,652.72,VICHADA,22282,77.9,77.93,92.69,8.65,76.3,15.05,11.73
283,99,2018,549.97,VICHADA,32951,78.13,53.74,61.92,7.14,75.25,17.6,5.62
284,99,2019,245.3,VICHADA,33198,55.51,55.51,62.42,7.63,74.92,17.44,7.82
285,99,2020,120.98,VICHADA,33298,60.15,60.14,66.64,3.07,84.08,12.85,14.44
286,99,2021,310.83,VICHADA,33183,65.44,65.43,73.0,5.02,77.56,17.42,11.13
287,99,2022,282.7,VICHADA,33949,66.99,66.98,74.03,6.58,76.29,17.14,14.24
