,CODDEPTO,DEPARTAMENTO,CODMPIO,MUNICIPIO,Categoría cultivo,AÑO,Hectáreas cultivadas,IICA,Categoría IICA
159,27,CHOCÓ,27001,QUIBDÓ,Cultivo permanente,2017,7.16,0.11,Bajo
160,27,CHOCÓ,27580,RÍO IRÓ ,Cultivo permanente,2017,27.68,0.09,Bajo
161,27,CHOCÓ,27600,RÍO QUITO ,Cultivo intermintente,2017,0.0,0.28,Bajo
162,27,CHOCÓ,27615,RIOSUCIO,Cultivo permanente,2017,113.87,0.44,Bajo
163,27,CHOCÓ,27660,SAN JOSÉ DEL PALMAR,Cultivo permanente,2017,392.52,0.89,Medio
164,27,CHOCÓ,27745,SIPÍ,Cultivo permanente,2017,258.0,0.46,Medio bajo
165,27,CHOCÓ,27787,TADÓ,Cultivo abandonado,2017,2.71,0.24,Bajo
166,27,CHOCÓ,27800,UNGUÍA,Cultivo permanente,2017,34.68,0.39,Bajo
167,27,CHOCÓ,27810,UNIÓN PANAMERICANA ,Cultivo abandonado,2017,0.0,0.06,Bajo
168,23,CÓRDOBA,23350,LA APARTADA,Cultivo abandonado,2017,0.0,0.01,Bajo
169,23,CÓRDOBA,23466,MONTELÍBANO,Cultivo permanente,2017,1181.13,0.08,Bajo
170,23,CÓRDOBA,23580,PUERTO LIBERTADOR,Cultivo permanente,2017,1412.22,0.12,Bajo
171,23,CÓRDOBA,23682,SAN JOSÉ DE URÉ,Cultivo permanente,2017,552.7,0.04,Bajo
172,23,CÓRDOBA,23807,TIERRALTA,Cultivo permanente,2017,1629.68,0.12,Bajo
173,23,CÓRDOBA,23855,VALENCIA,Cultivo permanente,2017,4.71,0.03,Bajo
174,25,CUNDINAMARCA,25148,CAPARRAPÍ,Cultivo abandonado,2017,0.0,0.01,Bajo
175,25,CUNDINAMARCA,25518,PAIME,Cultivo abandonado,2017,0.0,0.02,Bajo
176,25,CUNDINAMARCA,25823,TOPAIPÍ,Cultivo abandonado,2017,0.0,0.0,Bajo
177,25,CUNDINAMARCA,25885,YACOPÍ,Cultivo abandonado,2017,0.0,0.0,Bajo
178,94,GUAINÍA,94343,BARRANCO MINA ,Cultivo abandonado,2017,0.0,0.05,Bajo
179,94,GUAINÍA,94001,INIRIDA,Cultivo abandonado,2017,0.0,0.04,Bajo
180,95,GUAVIARE,95015,CALAMAR,Cultivo permanente,2017,416.39,0.47,Medio bajo
181,95,GUAVIARE,95025,EL RETORNO,Cultivo permanente,2017,1405.66,0.28,Bajo
182,95,GUAVIARE,95200,MIRAFLORES,Cultivo permanente,2017,1699.29,0.69,Medio bajo
183,95,GUAVIARE,95001,SAN JOSÉ DEL GUAVIARE,Cultivo permanente,2017,1401.33,0.29,Bajo
184,44,LA GUAJIRA,44090,DIBULLA,Cultivo intermintente,2017,1.69,0.13,Bajo
185,44,LA GUAJIRA,44001,RIOHACHA,Cultivo abandonado,2017,0.0,0.03,Bajo
186,47,MAGDALENA,47053,ARACATACA,Cultivo abandonado,2017,0.0,0.04,Bajo
187,47,MAGDALENA,47189,CIÉNAGA,Cultivo abandonado,2017,0.0,0.02,Bajo
188,47,MAGDALENA,47288,FUNDACIÓN,Cultivo abandonado,2017,0.0,0.02,Bajo
189,47,MAGDALENA,47001,SANTA MARTA ,Cultivo permanente,2017,7.88,0.02,Bajo
190,50,META,50350,LA MACARENA,Cultivo permanente,2017,1647.55,0.21,Bajo
191,50,META,50400,LEJANÍAS,Cultivo abandonado,2017,0.0,0.1,Bajo
192,50,META,50325,MAPIRIPÁN,Cultivo permanente,2017,315.66,0.4,Bajo
193,50,META,50330,MESETAS,Cultivo intermintente,2017,86.72,0.61,Medio bajo
194,50,META,50450,PUERTO CONCORDIA,Cultivo permanente,2017,77.84,0.52,Medio bajo
195,50,META,50568,PUERTO GAITÁN,Cultivo abandonado,2017,0.0,0.03,Bajo
196,50,META,50577,PUERTO LLERAS,Cultivo intermintente,2017,24.15,0.18,Bajo
197,50,META,50573,PUERTO LÓPEZ,Cultivo abandonado,2017,0.0,0.06,Bajo
198,50,META,50590,PUERTO RICO,Cultivo permanente,2017,1773.19,0.69,Medio bajo
199,50,META,50683,SAN JUAN DE ARAMA,Cultivo permanente,2017,70.28,0.23,Bajo
200,50,META,50689,SAN MARTÍN,Cultivo abandonado,2017,0.0,0.13,Bajo
201,50,META,50370,URIBE,Cultivo intermintente,2017,108.77,0.37,Bajo
202,50,META,50711,VISTAHERMOSA,Cultivo permanente,2017,1473.05,0.21,Bajo
203,52,NARIÑO,52036,ANCUYA,Cultivo intermintente,2017,45.6,0.01,Bajo
204,52,NARIÑO,52079,BARBACOAS,Cultivo permanente,2017,4590.5,0.35,Bajo
205,52,NARIÑO,52110,BUESACO,Cultivo abandonado,2017,0.0,0.02,Bajo
206,52,NARIÑO,52207,CONSACÁ,Cultivo abandonado,2017,0.0,0.01,Bajo
207,52,NARIÑO,52210,CONTADERO,Cultivo abandonado,2017,0.0,0.0,Bajo
208,52,NARIÑO,52215,CÓRDOBA,Cultivo abandonado,2017,0.0,0.04,Bajo
209,52,NARIÑO,52227,CUMBAL,Cultivo abandonado,2017,0.0,0.02,Bajo
210,52,NARIÑO,52233,CUMBITARA,Cultivo permanente,2017,666.8,0.21,Bajo
211,52,NARIÑO,52250,EL CHARCO,Cultivo permanente,2017,4630.67,0.37,Bajo
212,52,NARIÑO,52254,EL PEÑOL,Cultivo permanente,2017,97.31,0.08,Bajo
213,52,NARIÑO,52256,EL ROSARIO,Cultivo permanente,2017,765.36,0.21,Bajo
214,52,NARIÑO,52260,EL TAMBO,Cultivo permanente,2017,176.28,0.02,Bajo
215,52,NARIÑO,52520,FRANCISCO PIZARRO ,Cultivo permanente,2017,258.1,0.15,Bajo
