,CODDEPTO,DEPARTAMENTO,AÑO,Hectáreas cultivadas,Cobertura de acueducto,Cobertura de alcantarillado
130,27,CHOCÓ,2012,2622.0,75.79173913043478,53.34521739130435
131,27,CHOCÓ,2013,1082.0,71.21666666666667,45.553333333333335
132,27,CHOCÓ,2014,1665.0,81.47260869565217,44.52478260869565
133,27,CHOCÓ,2015,1488.8,80.11592592592594,43.03111111111111
134,27,CHOCÓ,2016,1704.56,62.68538461538461,46.97461538461538
135,27,CHOCÓ,2017,2610.59,67.14481481481482,48.846296296296295
136,27,CHOCÓ,2018,2155.13,69.7373076923077,47.15576923076923
137,27,CHOCÓ,2019,1248.09,74.12666666666667,55.394814814814815
138,27,CHOCÓ,2020,1467.6399999999999,72.32538461538462,59.193461538461534
139,27,CHOCÓ,2021,5060.58,68.16407407407408,56.02185185185185
140,44,LA GUAJIRA,2008,160.0,77.33500000000001,57.394999999999996
141,44,LA GUAJIRA,2009,163.0,76.945,56.185
142,44,LA GUAJIRA,2010,134.0,76.975,56.14
143,44,LA GUAJIRA,2011,16.0,79.935,56.155
144,44,LA GUAJIRA,2012,10.0,77.06,55.99
145,44,LA GUAJIRA,2013,6.0,80.025,57.995
146,44,LA GUAJIRA,2014,0.0,92.46000000000001,92.46000000000001
147,44,LA GUAJIRA,2015,0.0,87.195,65.67
148,44,LA GUAJIRA,2016,0.0,92.39500000000001,59.175
149,44,LA GUAJIRA,2017,1.69,92.28999999999999,94.46000000000001
150,44,LA GUAJIRA,2018,1.61,92.32,94.49000000000001
151,44,LA GUAJIRA,2019,0.0,93.045,62.945
152,44,LA GUAJIRA,2020,0.0,81.72999999999999,54.605
153,44,LA GUAJIRA,2021,0.0,90.83,57.68
154,47,MAGDALENA,2008,391.0,54.36333333333334,52.550000000000004
155,47,MAGDALENA,2009,130.0,56.9,54.86666666666667
156,47,MAGDALENA,2010,85.0,61.34,55.30333333333334
157,47,MAGDALENA,2011,33.0,54.56,52.17666666666667
158,47,MAGDALENA,2012,31.0,56.07666666666666,54.00333333333333
159,47,MAGDALENA,2013,36.0,54.826666666666675,20.293333333333333
160,47,MAGDALENA,2014,8.0,73.24333333333334,38.483333333333334
161,47,MAGDALENA,2015,4.72,55.85333333333333,47.589999999999996
162,47,MAGDALENA,2016,34.93,53.53,44.92333333333334
163,47,MAGDALENA,2017,7.88,52.416666666666664,44.22666666666667
164,47,MAGDALENA,2018,12.45,50.26,42.46
165,47,MAGDALENA,2019,6.88,54.905,41.3575
166,47,MAGDALENA,2020,2.07,74.8825,51.7225
167,47,MAGDALENA,2021,2.49,68.3875,46.2375
168,50,META,2008,5525.0,36.67307692307692,33.75230769230769
169,50,META,2009,4295.0,35.05153846153846,30.4
170,50,META,2010,3008.0,40.428461538461534,35.18538461538461
171,50,META,2011,3039.0,38.91384615384615,35.853846153846156
172,50,META,2012,2699.0,46.44538461538461,44.426923076923075
173,50,META,2013,2849.0,49.770833333333336,45.535
174,50,META,2014,5042.0,35.60846153846154,32.83615384615385
175,50,META,2015,3648.83,41.24166666666667,40.61083333333333
176,50,META,2016,5463.87,44.30461538461539,37.223076923076924
177,50,META,2017,5577.21,44.69615384615384,40.73538461538461
178,50,META,2018,2712.73,42.88083333333333,38.4075
179,50,META,2019,1465.5700000000002,37.33615384615385,33.51692307692308
180,50,META,2020,1234.86,38.073076923076925,33.393846153846155
181,50,META,2021,1639.82,42.86692307692307,43.136923076923075
182,52,NARIÑO,2008,17987.0,53.84967741935483,36.53709677419355
183,52,NARIÑO,2009,10831.0,56.7464,39.2316
184,52,NARIÑO,2010,11612.0,53.04458333333333,29.937083333333334
185,52,NARIÑO,2011,16738.0,60.450967741935486,32.476451612903226
186,52,NARIÑO,2012,9461.0,48.044838709677414,27.753870967741936
187,52,NARIÑO,2013,4679.0,51.603793103448275,26.840344827586208
188,52,NARIÑO,2014,17285.0,54.402058823529416,33.13852941176471
189,52,NARIÑO,2015,29510.940000000002,60.41121212121212,38.025454545454544
190,52,NARIÑO,2016,42627.380000000005,49.77441176470588,31.801470588235293
191,52,NARIÑO,2017,45734.62,56.10205882352941,36.14588235294118
192,52,NARIÑO,2018,41125.08,55.13272727272727,34.49515151515151
193,52,NARIÑO,2019,36964.26,65.61941176470589,43.06235294117647
194,52,NARIÑO,2020,30751.379999999997,66.23264705882353,45.07411764705882
195,52,NARIÑO,2021,56515.94,63.847941176470584,42.781470588235294
196,54,NORTE DE SANTANDER,2008,2824.0,51.391176470588235,50.726470588235294
197,54,NORTE DE SANTANDER,2009,2663.0,46.87066666666667,44.40533333333334
198,54,NORTE DE SANTANDER,2010,1889.0,46.84533333333333,44.446000000000005
199,54,NORTE DE SANTANDER,2011,3065.0,39.323125000000005,36.2375
200,54,NORTE DE SANTANDER,2012,4495.0,36.44882352941176,34.59235294117647
201,54,NORTE DE SANTANDER,2013,5333.0,40.349333333333334,37.223333333333336
202,54,NORTE DE SANTANDER,2014,6905.0,34.53357142857143,32.77571428571429
203,54,NORTE DE SANTANDER,2015,11527.11,40.49388888888889,37.19444444444444
204,54,NORTE DE SANTANDER,2016,24830.61,36.349999999999994,34.808888888888895
205,54,NORTE DE SANTANDER,2017,28244.27,36.22611111111111,33.912777777777784
206,54,NORTE DE SANTANDER,2018,33443.44,36.685,34.363125
207,54,NORTE DE SANTANDER,2019,41710.97,36.48888888888889,35.717777777777776
208,54,NORTE DE SANTANDER,2020,40083.7,39.513888888888886,38.78611111111111
