,CODDEPTO,DEPARTAMENTO,CODMPIO,MUNICIPIO,AÑO,Kilogramos incautadas
135,52,NARIÑO,52687,SAN LORENZO,1999,0.0
136,52,NARIÑO,52696,SANTA BÁRBARA ,1999,0.0
137,52,NARIÑO,52786,TAMINANGO,1999,0.0
138,52,NARIÑO,52835,TUMACO,1999,23500.0
139,54,NORTE DE SANTANDER,54128,CÁCHIRA,1999,0.0
140,54,NORTE DE SANTANDER,54172,CHINÁCOTA,1999,0.0
141,54,NORTE DE SANTANDER,54206,CONVENCIÓN,1999,0.0
142,54,NORTE DE SANTANDER,54245,EL CARMEN,1999,0.0
143,54,NORTE DE SANTANDER,54250,EL TARRA,1999,0.0
144,54,NORTE DE SANTANDER,54261,EL ZULIA,1999,0.0
145,54,NORTE DE SANTANDER,54344,HACARÍ,1999,0.0
146,54,NORTE DE SANTANDER,54385,LA ESPERANZA,1999,0.0
147,54,NORTE DE SANTANDER,54553,PUERTO SANTANDER,1999,0.0
148,54,NORTE DE SANTANDER,54670,SAN CALIXTO,1999,0.0
149,54,NORTE DE SANTANDER,54720,SARDINATA,1999,0.0
150,54,NORTE DE SANTANDER,54800,TEORAMA,1999,0.0
151,54,NORTE DE SANTANDER,54810,TIBÚ,1999,130.0
152,63,QUINDIO,63470,MONTENEGRO,1999,0.0
153,68,SANTANDER,68081,BARRANCABERMEJA,1999,0.0
154,68,SANTANDER,68101,BOLÍVAR,1999,0.0
155,68,SANTANDER,68190,CIMITARRA,1999,0.0
156,68,SANTANDER,68250,EL PEÑÓN,1999,0.0
157,68,SANTANDER,68255,EL PLAYÓN,1999,0.0
158,68,SANTANDER,68266,ENCISO,1999,0.0
159,68,SANTANDER,68271,FLORIÁN,1999,125.0
160,68,SANTANDER,68385,LANDÁZURI,1999,625.0
161,68,SANTANDER,68615,RIONEGRO,1999,0.0
162,68,SANTANDER,68720,SANTA HELENA DEL OPÓN,1999,0.0
163,68,SANTANDER,68773,SUCRE,1999,0.0
164,76,VALLE DEL CAUCA,76001,CALI,1999,148.0
165,76,VALLE DEL CAUCA,76100,BOLÍVAR,1999,0.0
166,76,VALLE DEL CAUCA,76109,BUENAVENTURA,1999,0.0
167,76,VALLE DEL CAUCA,76111,BUGA,1999,0.0
168,76,VALLE DEL CAUCA,76147,CARTAGO,1999,0.0
169,76,VALLE DEL CAUCA,76233,DAGUA,1999,0.0
170,76,VALLE DEL CAUCA,76275,FLORIDA,1999,0.0
171,81,ARAUCA,81001,ARAUCA,1999,0.0
172,81,ARAUCA,81065,ARAUQUITA,1999,580.0
173,81,ARAUCA,81300,FORTUL,1999,0.0
174,81,ARAUCA,81736,SARAVENA,1999,0.0
175,81,ARAUCA,81794,TAME,1999,15.0
176,86,PUTUMAYO,86001,MOCOA,1999,0.0
177,86,PUTUMAYO,86320,ORITO,1999,0.0
178,86,PUTUMAYO,86568,PUERTO ASÍS,1999,63000.0
179,86,PUTUMAYO,86569,PUERTO CAICEDO,1999,0.0
180,86,PUTUMAYO,86571,PUERTO GUZMÁN,1999,0.0
181,86,PUTUMAYO,86573,PUERTO LEGUÍZAMO,1999,77847.5
182,86,PUTUMAYO,86755,SAN FRANCISCO,1999,0.0
