,CODDEPTO,DEPARTAMENTO,CODMPIO,MUNICIPIO,AÑO,Hectáreas asperjadas
165,27,CHOCÓ,27135,EL CANTÓN DEL SAN PABLO,1994,0.0
166,27,CHOCÓ,27361,ISTMINA,1994,0.0
167,27,CHOCÓ,27430,MEDIO BAUDÓ,1994,0.0
168,27,CHOCÓ,27491,NÓVITA,1994,0.0
169,27,CHOCÓ,27600,RÍO QUITO,1994,0.0
170,50,META,50683,SAN JUAN DE ARAMA,1994,0.0
171,52,NARIÑO,52083,BELÉN,1994,0.0
172,52,NARIÑO,52110,BUESACO,1994,0.0
173,52,NARIÑO,52227,CUMBAL,1994,0.0
174,52,NARIÑO,52233,CUMBITARA,1994,0.0
175,52,NARIÑO,52260,EL TAMBO,1994,0.0
176,52,NARIÑO,52385,LA LLANADA,1994,0.0
177,52,NARIÑO,52418,LOS ANDES,1994,0.0
178,52,NARIÑO,52473,MOSQUERA,1994,0.0
179,52,NARIÑO,52540,POLICARPA,1994,0.0
180,52,NARIÑO,52678,SAMANIEGO,1994,0.0
181,52,NARIÑO,52694,SAN PEDRO DE CARTAGO,1994,0.0
182,52,NARIÑO,52696,SANTA BÁRBARA,1994,0.0
183,52,NARIÑO,52786,TAMINANGO,1994,0.0
184,54,NORTE DE SANTANDER,54128,CÁCHIRA,1994,0.0
185,54,NORTE DE SANTANDER,54385,LA ESPERANZA,1994,0.0
186,68,SANTANDER,68255,EL PLAYÓN,1994,0.0
187,68,SANTANDER,68377,LA BELLEZA,1994,0.0
188,68,SANTANDER,68573,PUERTO PARRA,1994,0.0
189,68,SANTANDER,68745,SIMACOTA,1994,0.0
190,76,VALLE DEL CAUCA,76109,BUENAVENTURA,1994,0.0
191,5,ANTIOQUIA,5038,ANGOSTURA,1994,0.0
192,5,ANTIOQUIA,5125,CAICEDO,1994,0.0
193,5,ANTIOQUIA,5134,CAMPAMENTO,1994,0.0
194,5,ANTIOQUIA,5172,CHIGORODÓ,1994,0.0
195,5,ANTIOQUIA,5475,MURINDÓ,1994,0.0
196,5,ANTIOQUIA,5480,MUTATÁ,1994,0.0
197,5,ANTIOQUIA,5665,SAN PEDRO DE URABÁ,1994,0.0
198,5,ANTIOQUIA,5837,TURBO,1994,0.0
199,5,ANTIOQUIA,5858,VEGACHÍ,1994,0.0
200,5,ANTIOQUIA,5873,VIGÍA DEL FUERTE,1994,0.0
201,5,ANTIOQUIA,5885,YALÍ,1994,0.0
202,5,ANTIOQUIA,5887,YARUMAL,1994,0.0
203,13,BOLÍVAR,13490,NOROSÍ,1994,0.0
204,19,CAUCA,19392,LA SIERRA,1994,0.0
205,23,CÓRDOBA,23001,MONTERÍA,1994,0.0
206,23,CÓRDOBA,23555,PLANETA RICA,1994,0.0
207,23,CÓRDOBA,23682,SAN JOSÉ DE URÉ,1994,0.0
208,23,CÓRDOBA,23855,VALENCIA,1994,0.0
209,25,CUNDINAMARCA,25839,UBALÁ,1994,0.0
210,27,CHOCÓ,27001,QUIBDÓ,1994,0.0
211,27,CHOCÓ,27006,ACANDÍ,1994,0.0
212,27,CHOCÓ,27099,BOJAYÁ,1994,0.0
213,27,CHOCÓ,27150,CARMEN DEL DARIÉN,1994,0.0
