,CODDEPTO,DEPARTAMENTO,CODMPIO,MUNICIPIO,AÑO,Kilogramos incautadas
242,41,HUILA,41132,CAMPOALEGRE,1999,23.0
243,41,HUILA,41298,GARZÓN,1999,0.0
244,41,HUILA,41306,GIGANTE,1999,54.0
245,41,HUILA,41319,GUADALUPE,1999,84.5
246,41,HUILA,41359,ISNOS,1999,0.0
247,41,HUILA,41396,LA PLATA,1999,156.0
248,41,HUILA,41518,PAICOL,1999,23.0
249,41,HUILA,41524,PALERMO,1999,0.0
250,41,HUILA,41548,PITAL,1999,0.0
251,41,HUILA,41551,PITALITO,1999,215.16
252,41,HUILA,41615,RIVERA,1999,2.5
253,41,HUILA,41660,SALADOBLANCO,1999,0.0
254,41,HUILA,41770,SUAZA,1999,40.7
255,41,HUILA,41791,TARQUI,1999,0.0
256,41,HUILA,41799,TELLO,1999,0.0
257,41,HUILA,41807,TIMANÁ,1999,27.0
258,44,LA GUAJIRA,44001,RIOHACHA,1999,0.001
259,44,LA GUAJIRA,44090,DIBULLA,1999,0.0
260,44,LA GUAJIRA,44430,MAICAO,1999,0.0
261,44,LA GUAJIRA,44650,SAN JUAN DEL CESAR,1999,0.0
262,44,LA GUAJIRA,44847,URIBIA,1999,0.0
263,47,MAGDALENA,47001,SANTA MARTA ,1999,31.0
264,47,MAGDALENA,47189,CIÉNAGA,1999,0.0
265,47,MAGDALENA,47245,EL BANCO,1999,2.0
266,47,MAGDALENA,47288,FUNDACIÓN,1999,52.0
267,50,META,50001,VILLAVICENCIO,1999,48.5
268,50,META,50006,ACACÍAS,1999,0.0
269,50,META,50226,CUMARAL,1999,0.0
270,50,META,50251,EL CASTILLO,1999,0.0
271,50,META,50287,FUENTE DE ORO,1999,19.0
272,50,META,50313,GRANADA,1999,8.0
273,50,META,50325,MAPIRIPÁN,1999,0.0
274,50,META,50330,MESETAS,1999,0.0
275,50,META,50350,LA MACARENA,1999,0.0
276,50,META,50370,URIBE,1999,0.0
277,50,META,50400,LEJANÍAS,1999,0.0
278,50,META,50450,PUERTO CONCORDIA,1999,0.0
279,50,META,50568,PUERTO GAITÁN,1999,0.0
280,50,META,50573,PUERTO LÓPEZ,1999,0.0
281,50,META,50577,PUERTO LLERAS,1999,0.0
282,50,META,50590,PUERTO RICO,1999,0.0
283,50,META,50606,RESTREPO,1999,25.5
284,50,META,50680,SAN CARLOS DE GUAROA,1999,0.0
285,50,META,50683,SAN JUAN DE ARAMA,1999,0.0
286,50,META,50689,SAN MARTÍN,1999,0.0
287,50,META,50711,VISTAHERMOSA,1999,6.0
288,52,NARIÑO,52001,PASTO,1999,35.6
289,52,NARIÑO,52079,BARBACOAS,1999,0.0
290,52,NARIÑO,52215,CÓRDOBA,1999,0.0
291,52,NARIÑO,52233,CUMBITARA,1999,0.0
292,52,NARIÑO,52240,CHACHAGÍ,1999,0.0
293,52,NARIÑO,52250,EL CHARCO,1999,0.0
294,52,NARIÑO,52256,EL ROSARIO,1999,2.0
295,52,NARIÑO,52260,EL TAMBO,1999,0.0
296,52,NARIÑO,52317,GUACHUCAL,1999,0.0
297,52,NARIÑO,52356,IPIALES,1999,0.0
298,52,NARIÑO,52381,LA FLORIDA,1999,0.0
299,52,NARIÑO,52390,LA TOLA,1999,0.0
300,52,NARIÑO,52405,LEIVA,1999,0.0
301,52,NARIÑO,52411,LINARES,1999,0.0
302,52,NARIÑO,52418,LOS ANDES ,1999,0.0
303,52,NARIÑO,52427,MAGÜÍ ,1999,0.0
304,52,NARIÑO,52490,OLAYA HERRERA ,1999,0.0
305,52,NARIÑO,52520,FRANCISCO PIZARRO ,1999,0.0
306,52,NARIÑO,52540,POLICARPA,1999,600.0
307,52,NARIÑO,52573,PUERRES,1999,0.0
308,52,NARIÑO,52585,PUPIALES,1999,0.0
309,52,NARIÑO,52612,RICAURTE,1999,0.0
310,52,NARIÑO,52678,SAMANIEGO,1999,0.0
311,52,NARIÑO,52683,SANDONÁ,1999,0.0
312,52,NARIÑO,52696,SANTA BÁRBARA ,1999,0.0
313,52,NARIÑO,52786,TAMINANGO,1999,0.0
314,52,NARIÑO,52835,TUMACO,1999,662.05
315,52,NARIÑO,52838,TÚQUERRES,1999,0.0
316,52,NARIÑO,52885,YACUANQUER,1999,0.0
317,54,NORTE DE SANTANDER,54001,CÚCUTA,1999,5.0
318,54,NORTE DE SANTANDER,54109,BUCARASICA,1999,0.0
319,54,NORTE DE SANTANDER,54206,CONVENCIÓN,1999,0.0
320,54,NORTE DE SANTANDER,54239,DURANIA,1999,0.0
321,54,NORTE DE SANTANDER,54250,EL TARRA,1999,15.0
322,54,NORTE DE SANTANDER,54261,EL ZULIA,1999,25.0
323,54,NORTE DE SANTANDER,54344,HACARÍ,1999,0.0
324,54,NORTE DE SANTANDER,54385,LA ESPERANZA,1999,0.0
325,54,NORTE DE SANTANDER,54398,LA PLAYA,1999,0.0
326,54,NORTE DE SANTANDER,54405,LOS PATIOS,1999,0.0
327,54,NORTE DE SANTANDER,54498,OCAÑA,1999,0.0
328,54,NORTE DE SANTANDER,54518,PAMPLONA,1999,0.0
329,54,NORTE DE SANTANDER,54553,PUERTO SANTANDER,1999,0.0
330,54,NORTE DE SANTANDER,54720,SARDINATA,1999,10.0
331,54,NORTE DE SANTANDER,54800,TEORAMA,1999,0.0
332,54,NORTE DE SANTANDER,54810,TIBÚ,1999,39.0
333,54,NORTE DE SANTANDER,54820,TOLEDO,1999,0.0
334,63,QUINDIO,63001,ARMENIA,1999,15.28
335,63,QUINDIO,63130,CALARCÁ,1999,22.72
336,63,QUINDIO,63190,CIRCASIA,1999,0.0
337,63,QUINDIO,63272,FILANDIA,1999,0.0
338,63,QUINDIO,63401,LA TEBAIDA,1999,0.0
339,63,QUINDIO,63470,MONTENEGRO,1999,0.0
340,63,QUINDIO,63594,QUIMBAYA,1999,0.0
341,63,QUINDIO,63690,SALENTO,1999,0.0
342,66,RISARALDA,66001,PEREIRA,1999,1.5
343,66,RISARALDA,66075,BALBOA,1999,0.0
344,66,RISARALDA,66088,BELÉN DE UMBRÍA,1999,0.0
345,66,RISARALDA,66170,DOSQUEBRADAS,1999,0.5
346,66,RISARALDA,66400,LA VIRGINIA,1999,0.0
347,66,RISARALDA,66594,QUINCHÍA,1999,0.0
348,66,RISARALDA,66682,SANTA ROSA DE CABAL,1999,0.0
349,68,SANTANDER,68001,BUCARAMANGA,1999,10.0
350,68,SANTANDER,68020,ALBANIA,1999,0.0
351,68,SANTANDER,68077,BARBOSA,1999,0.0
352,68,SANTANDER,68081,BARRANCABERMEJA,1999,2.0
353,68,SANTANDER,68101,BOLÍVAR,1999,100.0
354,68,SANTANDER,68190,CIMITARRA,1999,260.0
355,68,SANTANDER,68207,CONCEPCIÓN,1999,0.0
356,68,SANTANDER,68250,EL PEÑÓN,1999,0.0
357,68,SANTANDER,68255,EL PLAYÓN,1999,0.0
358,68,SANTANDER,68271,FLORIÁN,1999,0.0
359,68,SANTANDER,68276,FLORIDABLANCA,1999,0.0
360,68,SANTANDER,68307,GIRÓN,1999,0.0
361,68,SANTANDER,68377,LA BELLEZA,1999,3.0
362,68,SANTANDER,68385,LANDÁZURI,1999,2.0
363,68,SANTANDER,68406,LEBRIJA,1999,0.0
364,68,SANTANDER,68547,PIEDECUESTA,1999,0.0
365,68,SANTANDER,68572,PUENTE NACIONAL,1999,0.0
366,68,SANTANDER,68575,PUERTO WILCHES,1999,0.0
367,68,SANTANDER,68615,RIONEGRO,1999,0.0
368,68,SANTANDER,68655,SABANA DE TORRES,1999,50.0
369,68,SANTANDER,68689,SAN VICENTE DE CHUCURÍ,1999,0.0
370,68,SANTANDER,68720,SANTA HELENA DEL OPÓN,1999,0.0
371,68,SANTANDER,68745,SIMACOTA,1999,0.0
372,68,SANTANDER,68773,SUCRE,1999,0.0
373,68,SANTANDER,68861,VÉLEZ,1999,0.0
374,73,TOLIMA,73001,IBAGUÉ,1999,87.0
375,73,TOLIMA,73268,ESPINAL,1999,3.0
376,73,TOLIMA,73283,FRESNO,1999,0.0
377,73,TOLIMA,73319,GUAMO,1999,0.0
378,73,TOLIMA,73349,HONDA,1999,0.0
379,73,TOLIMA,73411,LÍBANO,1999,0.0
380,73,TOLIMA,73443,MARIQUITA,1999,0.0
381,73,TOLIMA,73449,MELGAR,1999,0.0
382,73,TOLIMA,73483,NATAGAIMA,1999,0.0
383,73,TOLIMA,73504,ORTEGA,1999,7.0
384,73,TOLIMA,73547,PIEDRAS,1999,0.0
385,76,VALLE DEL CAUCA,76001,CALI,1999,0.0
386,76,VALLE DEL CAUCA,76020,ALCALÁ,1999,20.5
387,76,VALLE DEL CAUCA,76036,ANDALUCÍA,1999,1.0
388,76,VALLE DEL CAUCA,76100,BOLÍVAR,1999,400.0
389,76,VALLE DEL CAUCA,76109,BUENAVENTURA,1999,8.0
390,76,VALLE DEL CAUCA,76111,BUGA,1999,0.5
391,76,VALLE DEL CAUCA,76113,BUGALAGRANDE,1999,0.0
392,76,VALLE DEL CAUCA,76122,CAICEDONIA,1999,503.0
393,76,VALLE DEL CAUCA,76126,CALIMA ,1999,0.03
394,76,VALLE DEL CAUCA,76147,CARTAGO,1999,0.0
395,76,VALLE DEL CAUCA,76233,DAGUA,1999,3000.0
396,76,VALLE DEL CAUCA,76248,EL CERRITO,1999,0.0
397,76,VALLE DEL CAUCA,76250,EL DOVIO,1999,10.0
398,76,VALLE DEL CAUCA,76275,FLORIDA,1999,0.0
399,76,VALLE DEL CAUCA,76318,GUACARÍ,1999,0.0
400,76,VALLE DEL CAUCA,76364,JAMUNDÍ,1999,0.0
401,76,VALLE DEL CAUCA,76377,LA CUMBRE,1999,0.0
402,76,VALLE DEL CAUCA,76400,LA UNIÓN,1999,0.0
403,76,VALLE DEL CAUCA,76520,PALMIRA,1999,0.0
404,76,VALLE DEL CAUCA,76563,PRADERA,1999,0.0
405,76,VALLE DEL CAUCA,76616,RIOFRÍO,1999,150.0
406,76,VALLE DEL CAUCA,76622,ROLDANILLO,1999,0.0
