,CODDEPTO,DEPARTAMENTO,AÑO,Hectáreas cultivadas,IICA
95,94,GUAINÍA,2017,0.0,0.045
96,94,GUAINÍA,2018,0.0,0.015
97,94,GUAINÍA,2019,0.0,0.005
98,94,GUAINÍA,2020,0.0,0.015
99,94,GUAINÍA,2021,0.0,0.02
100,95,GUAVIARE,2017,4922.67,0.4325
101,95,GUAVIARE,2018,4339.96,0.1825
102,95,GUAVIARE,2019,3118.85,0.1725
103,95,GUAVIARE,2020,3226.65,0.315
104,95,GUAVIARE,2021,4435.219999999999,0.1375
105,97,VAUPÉS,2017,105.46,0.06999999999999999
106,97,VAUPÉS,2018,64.74,0.04
107,97,VAUPÉS,2019,25.95,0.03
108,97,VAUPÉS,2020,39.33,0.02333333333333333
109,97,VAUPÉS,2021,28.81,0.013333333333333334
110,99,VICHADA,2017,652.72,0.023333333333333334
111,99,VICHADA,2018,549.97,0.13
112,99,VICHADA,2019,245.3,0.02666666666666667
113,99,VICHADA,2020,120.98,0.02
114,99,VICHADA,2021,310.83,0.01
