,CODDEPTO,DEPARTAMENTO,CODMPIO,MUNICIPIO,Categoría,AÑO,Hectáreas erradicadas
96,41,HUILA,41378,LA ARGENTINA,Territorio sin intervenir en los últimos 5 años,1998,1.0
97,41,HUILA,41615,RIVERA,Territorio sin intervenir en los últimos 5 años,1998,0.0
98,41,HUILA,41791,TARQUI,Territorio sin intervenir en los últimos 5 años,1998,0.0
99,44,LA GUAJIRA,44090,DIBULLA,Territorio con erradicacion intermitente,1998,0.0
100,47,MAGDALENA,47001,SANTA MARTA,Territorio con erradicacion intermitente,1998,33.0
101,47,MAGDALENA,47189,CIÉNAGA,Territorio con erradicacion intermitente,1998,0.0
102,50,META,50001,VILLAVICENCIO,Territorio con erradicacion intermitente,1998,0.0
103,50,META,50251,EL CASTILLO,Territorio sin intervenir en los últimos 5 años,1998,0.0
104,50,META,50325,MAPIRIPÁN,Territorio con erradicacion intermitente,1998,0.0
105,50,META,50330,MESETAS,Territorio con erradicacion intermitente,1998,0.0
106,50,META,50350,LA MACARENA,Territorio con erradicacion intermitente,1998,0.0
107,50,META,50370,URIBE,Territorio con erradicacion intermitente,1998,0.0
108,50,META,50400,LEJANÍAS,Territorio sin intervenir en los últimos 5 años,1998,0.0
109,50,META,50450,PUERTO CONCORDIA,Territorio con erradicacion intermitente,1998,0.0
110,50,META,50577,PUERTO LLERAS,Territorio con erradicacion intermitente,1998,0.0
111,50,META,50683,SAN JUAN DE ARAMA,Territorio con erradicacion intermitente,1998,0.0
112,52,NARIÑO,52001,PASTO,Territorio sin intervenir en los últimos 5 años,1998,0.0
113,52,NARIÑO,52079,BARBACOAS,Territorio con erradicacion intermitente,1998,0.0
114,52,NARIÑO,52207,CONSACÁ,Territorio sin intervenir en los últimos 5 años,1998,0.0
115,52,NARIÑO,52210,CONTADERO,Territorio sin intervenir en los últimos 5 años,1998,0.0
116,52,NARIÑO,52224,CUASPÚD,Territorio sin intervenir en los últimos 5 años,1998,0.0
117,52,NARIÑO,52227,CUMBAL,Territorio sin intervenir en los últimos 5 años,1998,0.0
118,52,NARIÑO,52250,EL CHARCO,Territorio con erradicacion intermitente,1998,0.0
119,52,NARIÑO,52256,EL ROSARIO,Territorio con erradicacion intermitente,1998,3.0
120,52,NARIÑO,52260,EL TAMBO,Territorio sin intervenir en los últimos 5 años,1998,0.0
121,52,NARIÑO,52320,GUAITARILLA,Territorio sin intervenir en los últimos 5 años,1998,0.0
122,52,NARIÑO,52405,LEIVA,Territorio con erradicacion intermitente,1998,2.0
123,52,NARIÑO,52411,LINARES,Territorio con erradicacion intermitente,1998,0.0
124,52,NARIÑO,52418,LOS ANDES,Territorio con erradicacion intermitente,1998,0.0
125,52,NARIÑO,52540,POLICARPA,Territorio con erradicacion intermitente,1998,0.0
126,52,NARIÑO,52678,SAMANIEGO,Territorio con erradicacion intermitente,1998,0.0
127,52,NARIÑO,52683,SANDONÁ,Territorio sin intervenir en los últimos 5 años,1998,0.0
128,52,NARIÑO,52687,SAN LORENZO,Territorio sin intervenir en los últimos 5 años,1998,0.0
129,52,NARIÑO,52786,TAMINANGO,Territorio sin intervenir en los últimos 5 años,1998,0.0
130,52,NARIÑO,52835,SAN ANDRÉS DE TUMACO,Territorio con erradicacion intermitente,1998,0.0
131,54,NORTE DE SANTANDER,54003,ÁBREGO,Territorio con erradicacion intermitente,1998,0.0
132,54,NORTE DE SANTANDER,54172,CHINÁCOTA,Territorio sin intervenir en los últimos 5 años,1998,0.0
133,54,NORTE DE SANTANDER,54206,CONVENCIÓN,Territorio con erradicacion intermitente,1998,0.0
134,54,NORTE DE SANTANDER,54245,EL CARMEN,Territorio con erradicacion intermitente,1998,0.0
135,54,NORTE DE SANTANDER,54250,EL TARRA,Territorio con erradicacion intermitente,1998,0.0
136,54,NORTE DE SANTANDER,54385,LA ESPERANZA,Territorio con erradicacion intermitente,1998,80.0
137,54,NORTE DE SANTANDER,54553,PUERTO SANTANDER,Territorio con erradicacion intermitente,1998,0.0
138,54,NORTE DE SANTANDER,54670,SAN CALIXTO,Territorio con erradicacion intermitente,1998,0.0
139,54,NORTE DE SANTANDER,54720,SARDINATA,Territorio con erradicacion intermitente,1998,0.0
140,54,NORTE DE SANTANDER,54800,TEORAMA,Territorio con erradicacion intermitente,1998,0.0
141,54,NORTE DE SANTANDER,54810,TIBÚ,Territorio con erradicacion intermitente,1998,49.0
142,68,SANTANDER,68081,BARRANCABERMEJA,Territorio sin intervenir en los últimos 5 años,1998,0.0
143,68,SANTANDER,68092,BETULIA,Territorio sin intervenir en los últimos 5 años,1998,0.0
144,68,SANTANDER,68101,BOLÍVAR,Territorio con erradicacion intermitente,1998,0.0
145,68,SANTANDER,68190,CIMITARRA,Territorio con erradicacion intermitente,1998,0.0
146,68,SANTANDER,68235,EL CARMEN DE CHUCURÍ,Territorio sin intervenir en los últimos 5 años,1998,0.0
147,68,SANTANDER,68255,EL PLAYÓN,Territorio sin intervenir en los últimos 5 años,1998,0.0
148,68,SANTANDER,68271,FLORIÁN,Territorio sin intervenir en los últimos 5 años,1998,100.0
149,68,SANTANDER,68377,LA BELLEZA,Territorio con erradicacion intermitente,1998,0.0
150,68,SANTANDER,68385,LANDÁZURI,Territorio con erradicacion intermitente,1998,0.0
151,68,SANTANDER,68406,LEBRIJA,Territorio sin intervenir en los últimos 5 años,1998,0.0
152,68,SANTANDER,68547,PIEDECUESTA,Territorio sin intervenir en los últimos 5 años,1998,0.0
153,68,SANTANDER,68615,RIONEGRO,Territorio sin intervenir en los últimos 5 años,1998,0.0
154,68,SANTANDER,68679,SAN GIL,Territorio sin intervenir en los últimos 5 años,1998,0.0
155,68,SANTANDER,68682,SAN JOAQUÍN,Territorio sin intervenir en los últimos 5 años,1998,0.0
156,68,SANTANDER,68689,SAN VICENTE DE CHUCURÍ,Territorio sin intervenir en los últimos 5 años,1998,0.0
157,68,SANTANDER,68720,SANTA HELENA DEL OPÓN,Territorio sin intervenir en los últimos 5 años,1998,0.0
158,68,SANTANDER,68773,SUCRE,Territorio con erradicacion intermitente,1998,0.0
159,70,SUCRE,70265,GUARANDA,Territorio sin intervenir en los últimos 5 años,1998,0.0
160,73,TOLIMA,73043,ANZOÁTEGUI,Territorio con erradicacion intermitente,1998,0.0
161,73,TOLIMA,73236,DOLORES,Territorio sin intervenir en los últimos 5 años,1998,0.0
162,73,TOLIMA,73873,VILLARRICA,Territorio sin intervenir en los últimos 5 años,1998,0.0
163,76,VALLE DEL CAUCA,76100,BOLÍVAR,Territorio con erradicacion intermitente,1998,0.0
164,76,VALLE DEL CAUCA,76109,BUENAVENTURA,Territorio con erradicacion intermitente,1998,0.0
165,76,VALLE DEL CAUCA,76233,DAGUA,Territorio con erradicacion intermitente,1998,0.0
166,76,VALLE DEL CAUCA,76250,EL DOVIO,Territorio con erradicacion intermitente,1998,0.0
167,76,VALLE DEL CAUCA,76275,FLORIDA,Territorio con erradicacion intermitente,1998,0.0
168,81,ARAUCA,81001,ARAUCA,Territorio sin intervenir en los últimos 5 años,1998,0.0
169,81,ARAUCA,81065,ARAUQUITA,Territorio con erradicacion intermitente,1998,2.0
170,81,ARAUCA,81300,FORTUL,Territorio sin intervenir en los últimos 5 años,1998,1.0
