,CODDEPTO,DEPARTAMENTO,MUNICIPIO,Categoría,AÑO,Hectáreas cultivadas,Ingreso tributario
508,52,NARIÑO,BARBACOAS,Cultivo permanente,2002,2187.0,0.0
509,52,NARIÑO,BUESACO,Cultivo abandonado,2002,0.0,5344.28
510,52,NARIÑO,CONSACÁ,Cultivo abandonado,2002,0.0,3786.04
511,52,NARIÑO,CONTADERO,Cultivo abandonado,2002,0.0,2640.41
512,52,NARIÑO,CÓRDOBA,Cultivo abandonado,2002,0.0,6541.67
513,52,NARIÑO,CUMBAL,Cultivo abandonado,2002,0.0,5693.37
514,52,NARIÑO,CUMBITARA,Cultivo permanente,2002,140.0,1293.2
515,52,NARIÑO,EL CHARCO,Cultivo permanente,2002,798.0,6251.33
516,52,NARIÑO,EL PEÑOL,Cultivo permanente,2002,0.0,0.0
517,52,NARIÑO,EL ROSARIO,Cultivo permanente,2002,102.0,5504.66
518,52,NARIÑO,EL TAMBO,Cultivo permanente,2002,0.0,9394.59
519,52,NARIÑO,FRANCISCO PIZARRO ,Cultivo permanente,2002,45.0,0.0
520,52,NARIÑO,IPIALES,Cultivo permanente,2002,350.0,10460.64
521,52,NARIÑO,LA FLORIDA,Cultivo intermintente,2002,0.0,7484.72
522,52,NARIÑO,LA LLANADA,Cultivo permanente,2002,12.0,3968.47
523,52,NARIÑO,LA TOLA,Cultivo permanente,2002,29.0,0.0
524,52,NARIÑO,LEIVA,Cultivo permanente,2002,0.0,4061.15
525,52,NARIÑO,LINARES,Cultivo permanente,2002,0.0,6519.67
526,52,NARIÑO,LOS ANDES ,Cultivo permanente,2002,0.0,5801.72
527,52,NARIÑO,MAGÜÍ ,Cultivo permanente,2002,2398.0,0.0
528,52,NARIÑO,MALLAMA ,Cultivo intermintente,2002,0.0,4908.43
529,52,NARIÑO,MOSQUERA,Cultivo permanente,2002,119.0,3349.68
530,52,NARIÑO,OLAYA HERRERA ,Cultivo permanente,2002,690.0,8799.06
531,52,NARIÑO,POLICARPA,Cultivo permanente,2002,29.0,7365.02
532,52,NARIÑO,PUERRES,Cultivo abandonado,2002,1.0,4128.19
533,52,NARIÑO,RICAURTE,Cultivo permanente,2002,23.0,5617.35
534,52,NARIÑO,ROBERTO PAYÁN ,Cultivo permanente,2002,2361.0,0.0
535,52,NARIÑO,SAMANIEGO,Cultivo permanente,2002,5.0,14519.44
536,52,NARIÑO,SAN PABLO,Cultivo abandonado,2002,0.0,6178.24
537,52,NARIÑO,SANDONÁ,Cultivo intermintente,2002,0.0,5505.12
538,52,NARIÑO,SANTA BÁRBARA ,Cultivo permanente,2002,258.0,0.0
539,52,NARIÑO,SANTA CRUZ ,Cultivo permanente,2002,0.0,5200.78
540,52,NARIÑO,TUMACO,Cultivo permanente,2002,5585.0,0.0
541,54,NORTE DE SANTANDER,ÁBREGO,Cultivo permanente,2002,0.0,0.0
542,54,NORTE DE SANTANDER,BUCARASICA,Cultivo intermintente,2002,0.0,2255.46
543,54,NORTE DE SANTANDER,CÁCHIRA,Cultivo abandonado,2002,0.0,3138.48
544,54,NORTE DE SANTANDER,CONVENCIÓN,Cultivo permanente,2002,33.0,10704.67
545,54,NORTE DE SANTANDER,CÚCUTA,Cultivo permanente,2002,47.0,107916.73
546,54,NORTE DE SANTANDER,EL CARMEN,Cultivo permanente,2002,24.0,4734.63
547,54,NORTE DE SANTANDER,EL TARRA,Cultivo permanente,2002,524.0,0.0
548,54,NORTE DE SANTANDER,EL ZULIA,Cultivo permanente,2002,36.0,4290.55
549,54,NORTE DE SANTANDER,HACARÍ,Cultivo permanente,2002,9.0,2980.63
550,54,NORTE DE SANTANDER,LA ESPERANZA,Cultivo intermintente,2002,1.0,3259.71
551,54,NORTE DE SANTANDER,LA PLAYA,Cultivo intermintente,2002,0.0,3115.94
552,54,NORTE DE SANTANDER,LOURDES,Cultivo abandonado,2002,0.0,1539.77
553,54,NORTE DE SANTANDER,OCAÑA,Cultivo permanente,2002,0.0,12613.82
554,54,NORTE DE SANTANDER,SAN CALIXTO,Cultivo permanente,2002,9.0,3635.15
555,54,NORTE DE SANTANDER,SARDINATA,Cultivo permanente,2002,793.0,5207.52
556,54,NORTE DE SANTANDER,TEORAMA,Cultivo permanente,2002,217.0,3242.29
557,54,NORTE DE SANTANDER,TIBÚ,Cultivo permanente,2002,6340.0,10681.52
558,54,NORTE DE SANTANDER,TOLEDO,Cultivo abandonado,2002,9.0,5782.26
559,86,PUTUMAYO,MOCOA,Cultivo permanente,2002,122.0,7553.42
560,86,PUTUMAYO,ORITO,Cultivo permanente,2002,1442.0,9391.54
561,86,PUTUMAYO,PUERTO ASÍS,Cultivo permanente,2002,2898.0,0.0
562,86,PUTUMAYO,PUERTO CAICEDO,Cultivo permanente,2002,709.0,6202.68
563,86,PUTUMAYO,PUERTO GUZMÁN,Cultivo permanente,2002,2494.0,7541.05
564,86,PUTUMAYO,PUERTO LEGUÍZAMO,Cultivo permanente,2002,3187.0,7400.33
565,86,PUTUMAYO,SAN MIGUEL ,Cultivo permanente,2002,903.0,7181.59
566,86,PUTUMAYO,SANTIAGO,Cultivo abandonado,2002,8.0,3796.09
567,86,PUTUMAYO,VALLE DEL GUAMUEZ ,Cultivo permanente,2002,1553.0,12195.01
568,86,PUTUMAYO,VILLAGARZÓN,Cultivo permanente,2002,410.0,6337.87
569,68,SANTANDER,ALBANIA,Cultivo abandonado,2002,5.0,2061.6
570,68,SANTANDER,BETULIA,Cultivo abandonado,2002,0.0,2112.32
